,Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2,Site
135,0.36,0.42,0.48,0.5,0.53,0.32,0.41,0
136,0.3,0.37,0.48,0.5,0.43,0.18,0.3,0
137,0.26,0.4,0.48,0.5,0.36,0.26,0.37,0
138,0.4,0.41,0.48,0.5,0.55,0.22,0.33,0
139,0.22,0.34,0.48,0.5,0.42,0.29,0.39,0
140,0.44,0.35,0.48,0.5,0.44,0.52,0.59,0
141,0.27,0.42,0.48,0.5,0.37,0.38,0.43,0
142,0.16,0.43,0.48,0.5,0.54,0.27,0.37,0
143,0.06,0.61,0.48,0.5,0.49,0.92,0.37,7
144,0.44,0.52,0.48,0.5,0.43,0.47,0.54,7
145,0.63,0.47,0.48,0.5,0.51,0.82,0.84,7
146,0.23,0.48,0.48,0.5,0.59,0.88,0.89,7
147,0.34,0.49,0.48,0.5,0.58,0.85,0.8,7
148,0.43,0.4,0.48,0.5,0.58,0.75,0.78,7
149,0.46,0.61,0.48,0.5,0.48,0.86,0.87,7
150,0.27,0.35,0.48,0.5,0.51,0.77,0.79,7
151,0.52,0.39,0.48,0.5,0.65,0.71,0.73,7
152,0.29,0.47,0.48,0.5,0.71,0.65,0.69,7
153,0.55,0.47,0.48,0.5,0.57,0.78,0.8,7
154,0.12,0.67,0.48,0.5,0.74,0.58,0.63,7
155,0.4,0.5,0.48,0.5,0.65,0.82,0.84,7
156,0.73,0.36,0.48,0.5,0.53,0.91,0.92,7
157,0.84,0.44,0.48,0.5,0.48,0.71,0.74,7
158,0.48,0.45,0.48,0.5,0.6,0.78,0.8,7
159,0.54,0.49,0.48,0.5,0.4,0.87,0.88,7
160,0.48,0.41,0.48,0.5,0.51,0.9,0.88,7
161,0.5,0.66,0.48,0.5,0.31,0.92,0.92,7
162,0.72,0.46,0.48,0.5,0.51,0.66,0.7,7
163,0.47,0.55,0.48,0.5,0.58,0.71,0.75,7
164,0.33,0.56,0.48,0.5,0.33,0.78,0.8,7
165,0.64,0.58,0.48,0.5,0.48,0.78,0.73,7
166,0.54,0.57,0.48,0.5,0.56,0.81,0.83,7
167,0.47,0.59,0.48,0.5,0.52,0.76,0.79,7
168,0.63,0.5,0.48,0.5,0.59,0.85,0.86,7
169,0.49,0.42,0.48,0.5,0.53,0.79,0.81,7
170,0.31,0.5,0.48,0.5,0.57,0.84,0.85,7
171,0.74,0.44,0.48,0.5,0.55,0.88,0.89,7
172,0.33,0.45,0.48,0.5,0.45,0.88,0.89,7
173,0.45,0.4,0.48,0.5,0.61,0.74,0.77,7
174,0.71,0.4,0.48,0.5,0.71,0.7,0.74,7
175,0.5,0.37,0.48,0.5,0.66,0.64,0.69,7
176,0.66,0.53,0.48,0.5,0.59,0.66,0.66,7
177,0.6,0.61,0.48,0.5,0.54,0.67,0.71,7
178,0.83,0.37,0.48,0.5,0.61,0.71,0.74,7
179,0.34,0.51,0.48,0.5,0.67,0.9,0.9,7
180,0.63,0.54,0.48,0.5,0.65,0.79,0.81,7
181,0.7,0.4,0.48,0.5,0.56,0.86,0.83,7
182,0.6,0.5,1.0,0.5,0.54,0.77,0.8,7
183,0.16,0.51,0.48,0.5,0.33,0.39,0.48,7
184,0.74,0.7,0.48,0.5,0.66,0.65,0.69,7
185,0.2,0.46,0.48,0.5,0.57,0.78,0.81,7
186,0.89,0.55,0.48,0.5,0.51,0.72,0.76,7
187,0.7,0.46,0.48,0.5,0.56,0.78,0.73,7
188,0.12,0.43,0.48,0.5,0.63,0.7,0.74,7
189,0.61,0.52,0.48,0.5,0.54,0.67,0.52,7
190,0.33,0.37,0.48,0.5,0.46,0.65,0.69,7
191,0.63,0.65,0.48,0.5,0.66,0.67,0.71,7
192,0.41,0.51,0.48,0.5,0.53,0.75,0.78,7
193,0.34,0.67,0.48,0.5,0.52,0.76,0.79,7
194,0.58,0.34,0.48,0.5,0.56,0.87,0.81,7
195,0.59,0.56,0.48,0.5,0.55,0.8,0.82,7
196,0.51,0.4,0.48,0.5,0.57,0.62,0.67,7
197,0.5,0.57,0.48,0.5,0.71,0.61,0.66,7
198,0.6,0.46,0.48,0.5,0.45,0.81,0.83,7
199,0.37,0.47,0.48,0.5,0.39,0.76,0.79,7
200,0.58,0.55,0.48,0.5,0.57,0.7,0.74,7
201,0.36,0.47,0.48,0.5,0.51,0.69,0.72,7
202,0.39,0.41,0.48,0.5,0.52,0.72,0.75,7
203,0.35,0.51,0.48,0.5,0.61,0.71,0.74,7
204,0.31,0.44,0.48,0.5,0.5,0.79,0.82,7
205,0.61,0.66,0.48,0.5,0.46,0.87,0.88,7
206,0.48,0.49,0.48,0.5,0.52,0.77,0.71,7
207,0.11,0.5,0.48,0.5,0.58,0.72,0.68,7
208,0.31,0.36,0.48,0.5,0.58,0.94,0.94,7
209,0.68,0.51,0.48,0.5,0.71,0.75,0.78,7
210,0.69,0.39,0.48,0.5,0.57,0.76,0.79,7
211,0.52,0.54,0.48,0.5,0.62,0.76,0.79,7
212,0.46,0.59,0.48,0.5,0.36,0.76,0.23,7
213,0.36,0.45,0.48,0.5,0.38,0.79,0.17,7
214,0.0,0.51,0.48,0.5,0.35,0.67,0.44,7
215,0.1,0.49,0.48,0.5,0.41,0.67,0.21,7
216,0.3,0.51,0.48,0.5,0.42,0.61,0.34,7
217,0.61,0.47,0.48,0.5,0.0,0.8,0.32,7
218,0.63,0.75,0.48,0.5,0.64,0.73,0.66,7
219,0.71,0.52,0.48,0.5,0.64,1.0,0.99,7
220,0.85,0.53,0.48,0.5,0.53,0.52,0.35,1
221,0.63,0.49,0.48,0.5,0.54,0.76,0.79,1
222,0.75,0.55,1.0,1.0,0.4,0.47,0.3,2
223,0.7,0.39,1.0,0.5,0.51,0.82,0.84,2
224,0.72,0.42,0.48,0.5,0.65,0.77,0.79,5
225,0.79,0.41,0.48,0.5,0.66,0.81,0.83,5
226,0.83,0.48,0.48,0.5,0.65,0.76,0.79,5
227,0.69,0.43,0.48,0.5,0.59,0.74,0.77,5
228,0.79,0.36,0.48,0.5,0.46,0.82,0.7,5
229,0.78,0.33,0.48,0.5,0.57,0.77,0.79,5
230,0.75,0.37,0.48,0.5,0.64,0.7,0.74,5
231,0.59,0.29,0.48,0.5,0.64,0.75,0.77,5
232,0.67,0.37,0.48,0.5,0.54,0.64,0.68,5
233,0.66,0.48,0.48,0.5,0.54,0.7,0.74,5
234,0.64,0.46,0.48,0.5,0.48,0.73,0.76,5
235,0.76,0.71,0.48,0.5,0.5,0.71,0.75,5
236,0.84,0.49,0.48,0.5,0.55,0.78,0.74,5
237,0.77,0.55,0.48,0.5,0.51,0.78,0.74,5
238,0.81,0.44,0.48,0.5,0.42,0.67,0.68,5
239,0.58,0.6,0.48,0.5,0.59,0.73,0.76,5
240,0.63,0.42,0.48,0.5,0.48,0.77,0.8,5
241,0.62,0.42,0.48,0.5,0.58,0.79,0.81,5
242,0.86,0.39,0.48,0.5,0.59,0.89,0.9,5
243,0.81,0.53,0.48,0.5,0.57,0.87,0.88,5
244,0.87,0.49,0.48,0.5,0.61,0.76,0.79,5
245,0.47,0.46,0.48,0.5,0.62,0.74,0.77,5
246,0.76,0.41,0.48,0.5,0.5,0.59,0.62,5
247,0.7,0.53,0.48,0.5,0.7,0.86,0.87,5
248,0.64,0.45,0.48,0.5,0.67,0.61,0.66,5
249,0.81,0.52,0.48,0.5,0.57,0.78,0.8,5
250,0.73,0.26,0.48,0.5,0.57,0.75,0.78,5
251,0.49,0.61,1.0,0.5,0.56,0.71,0.74,5
252,0.88,0.42,0.48,0.5,0.52,0.73,0.75,5
253,0.84,0.54,0.48,0.5,0.75,0.92,0.7,5
254,0.63,0.51,0.48,0.5,0.64,0.72,0.76,5
255,0.86,0.55,0.48,0.5,0.63,0.81,0.83,5
256,0.79,0.54,0.48,0.5,0.5,0.66,0.68,5
257,0.57,0.38,0.48,0.5,0.06,0.49,0.33,5
258,0.78,0.44,0.48,0.5,0.45,0.73,0.68,5
259,0.78,0.68,0.48,0.5,0.83,0.4,0.29,6
260,0.63,0.69,0.48,0.5,0.65,0.41,0.28,6
261,0.67,0.88,0.48,0.5,0.73,0.5,0.25,6
262,0.61,0.75,0.48,0.5,0.51,0.33,0.33,6
263,0.67,0.84,0.48,0.5,0.74,0.54,0.37,6
264,0.74,0.9,0.48,0.5,0.57,0.53,0.29,6
265,0.73,0.84,0.48,0.5,0.86,0.58,0.29,6
266,0.75,0.76,0.48,0.5,0.83,0.57,0.3,6
267,0.77,0.57,0.48,0.5,0.88,0.53,0.2,6
268,0.74,0.78,0.48,0.5,0.75,0.54,0.15,6
269,0.68,0.76,0.48,0.5,0.84,0.45,0.27,6
270,0.56,0.68,0.48,0.5,0.77,0.36,0.45,6
271,0.65,0.51,0.48,0.5,0.66,0.54,0.33,6
272,0.52,0.81,0.48,0.5,0.72,0.38,0.38,6
273,0.64,0.57,0.48,0.5,0.7,0.33,0.26,6
274,0.6,0.76,1.0,0.5,0.77,0.59,0.52,6
275,0.69,0.59,0.48,0.5,0.77,0.39,0.21,6
276,0.63,0.49,0.48,0.5,0.79,0.45,0.28,6
277,0.71,0.71,0.48,0.5,0.68,0.43,0.36,6
278,0.68,0.63,0.48,0.5,0.73,0.4,0.3,6
279,0.77,0.57,1.0,0.5,0.37,0.54,0.01,3
280,0.66,0.49,1.0,0.5,0.54,0.56,0.36,3
281,0.71,0.46,1.0,0.5,0.52,0.59,0.3,3
282,0.67,0.55,1.0,0.5,0.66,0.58,0.16,3
283,0.68,0.49,1.0,0.5,0.62,0.55,0.28,3
284,0.74,0.49,0.48,0.5,0.42,0.54,0.36,4
285,0.7,0.61,0.48,0.5,0.56,0.52,0.43,4
286,0.66,0.86,0.48,0.5,0.34,0.41,0.36,4
287,0.73,0.78,0.48,0.5,0.58,0.51,0.31,4
288,0.65,0.57,0.48,0.5,0.47,0.47,0.51,4
289,0.72,0.86,0.48,0.5,0.17,0.55,0.21,4
290,0.67,0.7,0.48,0.5,0.46,0.45,0.33,4
291,0.67,0.81,0.48,0.5,0.54,0.49,0.23,4
292,0.67,0.61,0.48,0.5,0.51,0.37,0.38,4
293,0.63,1.0,0.48,0.5,0.35,0.51,0.49,4
294,0.57,0.59,0.48,0.5,0.39,0.47,0.33,4
295,0.71,0.71,0.48,0.5,0.4,0.54,0.39,4
296,0.66,0.74,0.48,0.5,0.31,0.38,0.43,4
297,0.67,0.81,0.48,0.5,0.25,0.42,0.25,4
298,0.64,0.72,0.48,0.5,0.49,0.42,0.19,4
299,0.68,0.82,0.48,0.5,0.38,0.65,0.56,4
300,0.32,0.39,0.48,0.5,0.53,0.28,0.38,4
301,0.7,0.64,0.48,0.5,0.47,0.51,0.47,4
302,0.63,0.57,0.48,0.5,0.49,0.7,0.2,4
303,0.74,0.82,0.48,0.5,0.49,0.49,0.41,4
304,0.63,0.86,0.48,0.5,0.39,0.47,0.34,4
305,0.63,0.83,0.48,0.5,0.4,0.39,0.19,4
306,0.63,0.71,0.48,0.5,0.6,0.4,0.39,4
307,0.71,0.86,0.48,0.5,0.4,0.54,0.32,4
308,0.68,0.78,0.48,0.5,0.43,0.44,0.42,4
309,0.64,0.84,0.48,0.5,0.37,0.45,0.4,4
310,0.74,0.47,0.48,0.5,0.5,0.57,0.42,4
311,0.75,0.84,0.48,0.5,0.35,0.52,0.33,4
312,0.63,0.65,0.48,0.5,0.39,0.44,0.35,4
313,0.69,0.67,0.48,0.5,0.3,0.39,0.24,4
314,0.7,0.71,0.48,0.5,0.42,0.84,0.85,4
315,0.69,0.8,0.48,0.5,0.46,0.57,0.26,4
316,0.64,0.66,0.48,0.5,0.41,0.39,0.2,4
317,0.63,0.8,0.48,0.5,0.46,0.31,0.29,4
318,0.66,0.71,0.48,0.5,0.41,0.5,0.35,4
319,0.69,0.59,0.48,0.5,0.46,0.44,0.52,4
320,0.68,0.67,0.48,0.5,0.49,0.4,0.34,4
321,0.64,0.78,0.48,0.5,0.5,0.36,0.38,4
322,0.62,0.78,0.48,0.5,0.47,0.49,0.54,4
323,0.76,0.73,0.48,0.5,0.44,0.39,0.39,4
324,0.64,0.81,0.48,0.5,0.37,0.39,0.44,4
325,0.29,0.39,0.48,0.5,0.52,0.4,0.48,4
326,0.62,0.83,0.48,0.5,0.46,0.36,0.4,4
327,0.56,0.54,0.48,0.5,0.43,0.37,0.3,4
328,0.69,0.66,0.48,0.5,0.41,0.5,0.25,4
329,0.69,0.65,0.48,0.5,0.63,0.48,0.41,4
330,0.43,0.59,0.48,0.5,0.52,0.49,0.56,4
331,0.74,0.56,0.48,0.5,0.47,0.68,0.3,4
332,0.71,0.57,0.48,0.5,0.48,0.35,0.32,4
333,0.61,0.6,0.48,0.5,0.44,0.39,0.38,4
334,0.59,0.61,0.48,0.5,0.42,0.42,0.37,4
335,0.74,0.74,0.48,0.5,0.31,0.53,0.52,4
