,sequence_name,Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2,Site
44,GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,0
45,GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,0
46,GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,0
47,GT_ECOLI,0.43,0.4,0.48,0.5,0.39,0.28,0.39,0
48,HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,0
49,HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43,0
50,HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36,0
51,IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17,0
52,IF2_ECOLI,0.22,0.36,0.48,0.5,0.35,0.39,0.47,0
53,ILVY_ECOLI,0.23,0.58,0.48,0.5,0.37,0.53,0.59,0
54,IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,0
55,KAD_ECOLI,0.54,0.47,0.48,0.5,0.28,0.33,0.42,0
56,KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45,0
57,LEU3_ECOLI,0.4,0.35,0.48,0.5,0.45,0.33,0.42,0
58,LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,0
59,LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,0
60,LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,0
61,MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,0
62,MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,0
63,MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35,0
64,METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43,0
65,METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,0
66,METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,0
67,METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,0
68,METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36,0
69,MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48,0
70,NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,0
71,NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36,0
72,NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,0
73,NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,0
74,OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,0
75,OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,0
76,OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35,0
77,PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51,0
78,PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37,0
79,PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46,0
80,PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44,0
81,PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41,0
82,PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,0
83,PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41,0
84,PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53,0
85,PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56,0
86,PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,0
87,PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42,0
88,PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34,0
89,PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,0
90,PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,0
91,PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27,0
92,PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25,0
93,PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32,0
94,PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39,0
95,PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38,0
96,PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43,0
97,PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33,0
98,PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28,0
99,RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41,0
100,RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35,0
101,RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,0
102,RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28,0
103,RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29,0
104,RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4,0
105,RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41,0
106,RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4,0
107,RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52,0
108,SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,0
109,SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25,0
110,SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2,0
111,SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56,0
112,SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27,0
113,SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39,0
114,SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31,0
115,SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31,0
116,SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43,0
117,SYGA_ECOLI,0.51,0.49,0.48,0.5,0.53,0.14,0.26,0
118,SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5,0
119,SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5,0
120,SYI_ECOLI,0.25,0.26,0.48,0.5,0.39,0.32,0.42,0
121,SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34,0
122,SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39,0
123,SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,0
124,SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44,0
125,SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46,0
126,SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33,0
127,SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44,0
128,SYS_ECOLI,0.23,0.34,0.48,0.5,0.43,0.26,0.37,0
129,SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47,0
130,SYV_ECOLI,0.0,0.38,0.48,0.5,0.42,0.48,0.55,0
131,SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43,0
132,SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33,0
133,THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39,0
134,THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46,0
135,TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41,0
136,UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3,0
137,UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,0
138,USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33,0
139,UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39,0
140,UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59,0
141,XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43,0
142,XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37,0
143,EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,7
144,AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54,7
145,AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84,7
146,ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,7
147,ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,7
148,AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78,7
149,ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,7
150,ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79,7
151,BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,7
152,CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,7
153,CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,7
154,CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,7
155,CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,7
156,DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,7
157,DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74,7
158,DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,7
159,DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88,7
160,DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,7
161,DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,7
162,ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7,7
163,EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75,7
164,FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,7
165,FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73,7
166,FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83,7
167,GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79,7
168,GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,7
169,GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81,7
170,GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,7
171,GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,7
172,KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89,7
173,KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,7
174,LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74,7
175,LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,7
176,LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,7
177,LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,7
178,LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74,7
179,LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9,7
180,MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81,7
181,MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83,7
182,MCP3_ECOLI,0.6,0.5,1.0,0.5,0.54,0.77,0.8,7
183,MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48,7
184,MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69,7
185,NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81,7
186,NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76,7
187,NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73,7
188,PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,7
189,PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,7
190,PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69,7
191,POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,7
192,PROP_ECOLI,0.41,0.51,0.48,0.5,0.53,0.75,0.78,7
193,PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79,7
194,PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81,7
195,PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,7
196,PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67,7
197,PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66,7
198,PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83,7
199,PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,7
200,PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,7
201,PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72,7
202,PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75,7
203,PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74,7
204,PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82,7
205,RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88,7
206,SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71,7
207,SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68,7
208,SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,7
209,TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78,7
210,XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79,7
211,YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,7
212,EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23,7
213,FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17,7
214,FTSN_ECOLI,0.0,0.51,0.48,0.5,0.35,0.67,0.44,7
215,FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21,7
216,MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34,7
217,TOLA_ECOLI,0.61,0.47,0.48,0.5,0.0,0.8,0.32,7
218,TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66,7
219,EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1.0,0.99,7
220,ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35,1
221,NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79,1
222,NLPA_ECOLI,0.75,0.55,1.0,1.0,0.4,0.47,0.3,2
223,CYOA_ECOLI,0.7,0.39,1.0,0.5,0.51,0.82,0.84,2
224,ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79,5
225,BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83,5
226,CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79,5
227,CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77,5
228,CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7,5
229,CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79,5
230,CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,5
231,CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77,5
232,CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68,5
233,DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74,5
234,DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76,5
235,DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75,5
236,FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74,5
237,FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74,5
238,FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68,5
239,GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76,5
240,KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,5
241,KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81,5
242,MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9,5
243,MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88,5
244,MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79,5
245,MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77,5
246,MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62,5
247,NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87,5
248,NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66,5
249,PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8,5
250,PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78,5
251,RHAT_ECOLI,0.49,0.61,1.0,0.5,0.56,0.71,0.74,5
252,SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75,5
253,SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,5
254,TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76,5
255,TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83,5
256,UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,5
257,TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,5
258,LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68,5
259,FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29,6
260,FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28,6
261,LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25,6
262,NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,6
263,NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,6
264,OMPA_ECOLI,0.74,0.9,0.48,0.5,0.57,0.53,0.29,6
265,OMPC_ECOLI,0.73,0.84,0.48,0.5,0.86,0.58,0.29,6
266,OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3,6
267,OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2,6
268,PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15,6
269,TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27,6
270,BTUB_ECOLI,0.56,0.68,0.48,0.5,0.77,0.36,0.45,6
271,CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33,6
272,FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38,6
273,FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26,6
274,FHUE_ECOLI,0.6,0.76,1.0,0.5,0.77,0.59,0.52,6
275,OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21,6
276,OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28,6
277,TOLC_ECOLI,0.71,0.71,0.48,0.5,0.68,0.43,0.36,6
278,PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3,6
279,MULI_ECOLI,0.77,0.57,1.0,0.5,0.37,0.54,0.01,3
280,NLPB_ECOLI,0.66,0.49,1.0,0.5,0.54,0.56,0.36,3
281,NLPE_ECOLI,0.71,0.46,1.0,0.5,0.52,0.59,0.3,3
282,PAL_ECOLI,0.67,0.55,1.0,0.5,0.66,0.58,0.16,3
283,SLP_ECOLI,0.68,0.49,1.0,0.5,0.62,0.55,0.28,3
284,AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36,4
285,AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43,4
286,ARAF_ECOLI,0.66,0.86,0.48,0.5,0.34,0.41,0.36,4
287,ASG2_ECOLI,0.73,0.78,0.48,0.5,0.58,0.51,0.31,4
288,BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51,4
289,C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21,4
290,CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33,4
291,CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23,4
292,CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38,4
293,DGAL_ECOLI,0.63,1.0,0.48,0.5,0.35,0.51,0.49,4
294,DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33,4
295,DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39,4
296,DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43,4
297,ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25,4
298,ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19,4
299,FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56,4
300,FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38,4
301,FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47,4
302,FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2,4
303,GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41,4
304,GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34,4
305,GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19,4
306,HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39,4
307,LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32,4
308,LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42,4
309,MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4,4
310,MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42,4
311,MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33,4
312,MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35,4
313,NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24,4
314,NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85,4
315,OPPA_ECOLI,0.69,0.8,0.48,0.5,0.46,0.57,0.26,4
316,OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2,4
317,POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29,4
318,POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35,4
319,PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52,4
320,PPB_ECOLI,0.68,0.67,0.48,0.5,0.49,0.4,0.34,4
321,PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38,4
322,PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54,4
323,PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39,4
324,RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44,4
325,SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48,4
